date,state,vaccine_alloc_1_pfizer,vaccine_alloc_2_pfizer,vaccine_alloc_1_janssen,vaccine_alloc_1_moderna,vaccine_alloc_2_moderna,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
2020-05-01,Vermont,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,879.0,5994.2,0.0,13.0,0.0,50.0,689.5,47.0,1.0,0.0,05/02/2020 03:47:19 PM,Not agree,Not agree
2020-05-01,Mississippi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7212.0,7212.0,0.0,0.0,0.0,281.0,281.0,0.0,-1.0,0.0,05/02/2020 03:47:19 PM,Agree,Agree
2020-05-01,Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4918.0,4918.0,0.0,184.0,0.0,159.0,159.0,0.0,7.0,0.0,05/02/2020 03:47:19 PM,Agree,Agree
2020-05-01,North Dakota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1107.0,1107.0,0.0,40.0,0.0,23.0,243.0,0.0,4.0,0.0,05/02/2020 03:47:19 PM,Agree,Not agree
2020-05-01,Wisconsin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7314.0,7314.0,0.0,460.0,0.0,327.0,327.0,0.0,11.0,0.0,05/02/2020 03:47:19 PM,Agree,Agree
2020-05-01,Montana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,453.0,453.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,05/02/2020 03:47:19 PM,Agree,Agree
2020-05-02,Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8364.0,8364.0,0.0,402.0,0.0,348.0,348.0,0.0,18.0,0.0,05/03/2020 03:36:03 PM,Agree,Agree
2020-05-02,South Dakota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2588.0,17074.75,0.0,63.0,0.0,21.0,21.0,0.0,0.0,0.0,05/03/2020 03:36:03 PM,0,Agree
2020-05-02,Missouri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8140.0,25785.5,0.0,222.0,0.0,351.0,1354.0,0.0,14.0,0.0,05/03/2020 11:36:00 AM,Not agree,Not agree
2020-05-02,Rhode Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9289.0,34496.25,0.0,327.0,0.0,296.0,2687.0,0.0,17.0,0.0,05/03/2020 03:36:03 PM,Not agree,0
2020-05-02,Michigan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43207.0,43207.0,0.0,851.0,0.0,4020.0,4020.0,0.0,154.0,0.0,05/03/2020 03:36:03 PM,Agree,Agree
2020-05-02,California,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52197.0,29189.0,0.0,1755.0,0.0,2171.0,3304.0,23.75,98.0,0.0,05/03/2020 03:36:03 PM,Not agree,Not agree
2020-05-02,New Hampshire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2429.0,15171.0,0.0,119.0,0.0,84.0,2588.0,47.5,3.0,0.0,05/03/2020 03:36:03 PM,Not agree,Not agree
2020-05-02,North Dakota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1153.0,1153.0,0.0,46.0,0.0,24.0,1872.0,71.25,1.0,0.0,05/03/2020 03:36:03 PM,Agree,Not agree
2020-05-02,Maryland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24473.0,1523.5,0.0,1001.0,0.0,1251.0,1156.0,95.0,59.0,1.0,05/03/2020 03:36:03 PM,0,Agree
2020-05-02,Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3372.0,1894.0,0.0,62.0,0.0,72.0,4449.0,47.5,8.0,0.0,05/03/2020 03:36:03 PM,Not agree,Not agree
2020-05-02,New Jersey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123736.0,2264.5,0.0,2531.0,4.0,7742.0,7742.0,0.0,204.0,0.0,02/19/2021 01:38:31 PM,Not agree,Agree
2020-05-02,Oregon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2635.0,2635.0,0.0,56.0,0.0,109.0,109.0,0.0,5.0,0.0,05/03/2020 03:36:03 PM,Agree,Agree
2020-05-02,Puerto Rico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1757.0,1757.0,0.0,182.0,0.0,95.0,95.0,0.0,1.0,0.0,05/03/2020 03:36:03 PM,Agree,Agree
2020-05-02,Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35463.0,7350.333333333333,266.0,735.0,0.0,1364.0,376.6666666666667,27.0,50.0,0.0,05/03/2020 03:36:03 PM,Not agree,Not agree
2020-05-02,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.0,12943.666666666666,532.0,1.0,0.0,9.0,658.3333333333334,54.0,0.0,0.0,05/03/2020 03:36:03 PM,0,0
2020-05-02,Ohio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19335.0,18537.0,798.0,592.0,17.0,1021.0,940.0,81.0,19.0,1.0,05/03/2020 03:36:03 PM,Agree,Agree
2020-05-02,Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16120.0,14498.0,1622.0,452.0,32.0,832.0,701.0,131.0,12.0,4.0,05/03/2020 03:36:03 PM,Agree,Agree
2020-05-02,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30552.0,11835.2,1297.6,1323.0,0.0,847.0,612.1666666666666,109.16666666666667,31.0,0.0,05/03/2020 03:36:03 PM,Not agree,Not agree
2020-05-02,Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,610.0,9172.4,973.2,3.0,0.0,16.0,523.3333333333334,87.33333333333334,0.0,0.0,05/03/2020 11:36:03 AM,Not agree,Not agree
2020-05-02,Iowa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8641.0,6509.599999999999,648.8000000000001,757.0,0.0,175.0,434.5,65.5,5.0,0.0,05/03/2020 03:36:03 PM,Not agree,Not agree
2020-05-02,Nebraska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5326.0,3846.7999999999993,324.4000000000001,488.0,0.0,76.0,345.6666666666667,43.66666666666667,3.0,0.0,05/03/2020 03:36:03 PM,Not agree,Not agree
2020-05-02,West Virginia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1184.0,1184.0,0.0,33.0,0.0,50.0,256.83333333333337,21.833333333333343,3.0,0.0,05/03/2020 03:36:03 PM,Agree,Not agree
2020-05-02,Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5038.0,5038.0,0.0,120.0,0.0,168.0,168.0,0.0,9.0,0.0,05/03/2020 03:36:03 PM,Agree,Agree
2020-05-02,Nevada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5311.0,31771.5,0.0,84.0,0.0,257.0,1363.5,0.0,3.0,0.0,05/03/2020 03:36:03 PM,0,0
2020-05-02,Illinois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58505.0,58505.0,0.0,2450.0,0.0,2559.0,2559.0,0.0,102.0,0.0,05/03/2020 03:36:03 PM,Agree,Agree
2020-05-02,Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7611.0,7611.0,0.0,317.0,0.0,288.0,288.0,0.0,-1.0,0.0,05/03/2020 03:36:03 PM,Agree,Agree
2020-05-02,District of Columbia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4797.0,6245.0,0.0,139.0,0.0,240.0,268.0,0.0,9.0,0.0,05/03/2020 03:36:03 PM,0,0
2020-05-02,Kentucky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4879.0,4879.0,0.0,0.0,0.0,248.0,248.0,0.0,0.0,0.0,05/03/2020 03:36:03 PM,Agree,Agree
2020-05-02,Vermont,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,886.0,10929.0,376.0,7.0,0.0,51.0,427.5,4.5,1.0,0.0,05/03/2020 03:36:03 PM,Not agree,Not agree
2020-05-02,Virginia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17731.0,16979.0,752.0,830.0,-40.0,616.0,607.0,9.0,35.0,0.0,05/03/2020 03:36:03 PM,Agree,Agree
2020-05-02,North Carolina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11509.0,11509.0,0.0,586.0,0.0,420.0,420.0,0.0,21.0,0.0,02/19/2021 01:38:31 PM,Agree,Agree
2020-05-02,Pennsylvania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48305.0,48305.0,0.0,1334.0,0.0,2418.0,1428.0,0.0,64.0,0.0,05/03/2020 03:36:03 PM,Agree,Not agree
2020-05-02,Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29287.0,29287.0,0.0,523.0,0.0,2436.0,2436.0,0.0,97.0,0.0,05/03/2020 03:36:03 PM,Agree,Agree
2020-05-02,Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26557.0,26546.0,11.0,381.0,0.0,1174.0,1174.0,0.0,7.0,0.0,05/03/2020 11:36:03 AM,Agree,Agree
